Ngày đăng bài,Năm SX,Tên xe,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
16/10/2025,2024,Subaru Forester 2.0i-L,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Ford Everest Platinum 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,18000,N/A,Xe cũ,Dầu
16/10/2025,2020,Mercedes Benz GLC 200,Lắp ráp trong nước,Hà Nội,SUV,104000,N/A,Xe cũ,Xăng
16/10/2025,2016,Toyota Fortuner TRD Sportivo 4x2 AT,Lắp ráp trong nước,TP HCM,SUV,72000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mercedes Benz Maybach S400,Nhập khẩu,Hà Nội,Sedan,37000,N/A,Xe cũ,Xăng
16/10/2025,2025,Lexus GX 550 Luxury,Nhập khẩu,Đà Nẵng,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2019,Ford Ranger XLS 2.2L 4x2 MT,Nhập khẩu,Hà Nội,Bán tải / Pickup,0,N/A,Xe cũ,Dầu
16/10/2025,2024,Toyota Yaris Cross 1.5 D-CVT,Nhập khẩu,Hà Nội,SUV,32000,N/A,Xe cũ,Xăng
16/10/2025,2020,Hyundai SantaFe Premium 2.2L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,60000,N/A,Xe cũ,Dầu
16/10/2025,2025,MG ZS Standard 1.5 AT 2WD,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2018,Mazda 3 1.5 AT,Lắp ráp trong nước,N/A,Sedan,76000,N/A,Xe cũ,Xăng
16/10/2025,2010,Lexus RX 350 AWD,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Eco AWD,Lắp ráp trong nước,Hà Nội,SUV,50000,N/A,Xe cũ,Điện
16/10/2025,2025,Lexus LX 600 Urban,Nhập khẩu,Đà Nẵng,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Subaru Forester 2.0i-S EyeSight,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Honda CRV e:HEV RS,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Hybrid
16/10/2025,2024,Ford Everest Platinum 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,18000,N/A,Xe cũ,Dầu
16/10/2025,2022,Peugeot 5008 AL 1.6 AT,Lắp ráp trong nước,TP HCM,SUV,30000,N/A,Xe cũ,Xăng
16/10/2025,2020,Mercedes Benz GLC 200,Lắp ráp trong nước,Hà Nội,SUV,104000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Camry 2.5 HEV Mid,Nhập khẩu,Hà Nội,Sedan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2016,Toyota Fortuner TRD Sportivo 4x2 AT,Lắp ráp trong nước,TP HCM,SUV,72000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Lexus RX 350L,Nhập khẩu,Hà Nội,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mercedes Benz GLC 300 4Matic,Lắp ráp trong nước,Hà Nội,SUV,82000,N/A,Xe cũ,Xăng
16/10/2025,2020,Hyundai SantaFe Premium 2.2L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,70000,N/A,Xe cũ,Dầu
16/10/2025,2019,Ford Ranger XLS 2.2L 4x2 MT,Nhập khẩu,Hà Nội,Bán tải / Pickup,0,N/A,Xe cũ,Dầu
16/10/2025,2024,Toyota Yaris Cross 1.5 D-CVT,Nhập khẩu,Hà Nội,SUV,32000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG ZS Standard 1.5 AT 2WD,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Hyundai SantaFe Premium 2.2L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,60000,N/A,Xe cũ,Dầu
16/10/2025,2021,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,N/A,SUV,54000,N/A,Xe cũ,Dầu
16/10/2025,2018,Mazda 3 1.5 AT,Lắp ráp trong nước,N/A,Sedan,76000,N/A,Xe cũ,Xăng
16/10/2025,2013,LandRover Range Rover HSE 3.0,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Eco AWD,Lắp ráp trong nước,N/A,SUV,52000,N/A,Xe cũ,Điện
16/10/2025,2025,Mercedes Benz E class E200 Avantgarde,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Lexus LX 600 Vip,Nhập khẩu,Đà Nẵng,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Hyundai SantaFe Prestige 2.5L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2014,Ford Ranger XLT 2.2L 4x4 MT,Nhập khẩu,Hà Nội,Bán tải / Pickup,141000,N/A,Xe cũ,Dầu
16/10/2025,2021,Mercedes Benz S class S450,Nhập khẩu,Hà Nội,Sedan,40000,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Wigo 1.2 AT,Nhập khẩu,Hà Nội,Hatchback,4500,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Hilux Adventure 2.8L 4x4 AT,Nhập khẩu,TP HCM,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2024,Volkswagen Viloran Luxury,Nhập khẩu,Hà Nội,Van/Minivan,20000,N/A,Xe cũ,Xăng
16/10/2025,2022,Peugeot 3008 GT,Lắp ráp trong nước,N/A,Crossover,30000,N/A,Xe cũ,Xăng
16/10/2025,2024,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,26000,N/A,Xe cũ,Xăng
16/10/2025,2018,Ford EcoSport Titanium 1.5L AT,Lắp ráp trong nước,Hà Nội,SUV,90000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2019,Toyota Land Cruiser 4.6 V8,Nhập khẩu,Hà Nội,SUV,64000,N/A,Xe cũ,Xăng
16/10/2025,2017,Toyota Corolla altis 1.8G AT,Lắp ráp trong nước,Hà Nội,Sedan,120000,N/A,Xe cũ,Xăng
16/10/2025,2018,Ford Transit Limousine,Lắp ráp trong nước,Hà Nội,Van/Minivan,110000,N/A,Xe cũ,Dầu
16/10/2025,2024,Kia Carnival Luxury 2.2D,Lắp ráp trong nước,N/A,Van/Minivan,10000,N/A,Xe cũ,Dầu
16/10/2025,2008,Mercedes Benz ML Class ML550,Nhập khẩu,TP HCM,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2022,VinFast VF8 Plus AWD,Lắp ráp trong nước,Hà Nội,SUV,32000,N/A,Xe cũ,Điện
16/10/2025,2013,LandRover Range Rover HSE 3.0,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2025,Mercedes Benz E class E200 Avantgarde,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Hyundai SantaFe Prestige 2.5L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Kia Sportage Signature 2.0G,Nhập khẩu,Hà Nội,Crossover,16000,N/A,Xe cũ,Xăng
16/10/2025,2022,Volvo V60 Cross Country B5 AWD,Nhập khẩu,Hà Nội,Wagon,20000,N/A,Xe cũ,Xăng
16/10/2025,2018,Ford Everest Titanium 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Dầu
16/10/2025,2017,Lexus RX 350,Nhập khẩu,Hà Nội,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Wigo 1.2 AT,Nhập khẩu,Hà Nội,Hatchback,4500,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Hilux Adventure 2.8L 4x4 AT,Nhập khẩu,TP HCM,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2024,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,Hà Nội,SUV,15000,N/A,Xe cũ,Xăng
16/10/2025,2024,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,26000,N/A,Xe cũ,Xăng
16/10/2025,2021,Mercedes Benz S class S450L Limited Edition,Lắp ráp trong nước,Hà Nội,Sedan,50000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2024,Kia Carnival Luxury 2.2D,Lắp ráp trong nước,N/A,Van/Minivan,10000,N/A,Xe cũ,Dầu
16/10/2025,2020,VinFast Fadil 1.4 AT Premium,Lắp ráp trong nước,Hà Nội,Hatchback,70000,N/A,Xe cũ,Xăng
16/10/2025,2018,Ford Transit Limousine,Lắp ráp trong nước,Hà Nội,Van/Minivan,110000,N/A,Xe cũ,Dầu
16/10/2025,2022,Mercedes Benz C class C200 Avantgarde Plus,Lắp ráp trong nước,TP HCM,Sedan,21000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Eco AWD,Lắp ráp trong nước,N/A,SUV,52000,N/A,Xe cũ,Điện
16/10/2025,2008,Mercedes Benz ML Class ML550,Nhập khẩu,TP HCM,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai Elantra 1.6 AT Tiêu chuẩn,Lắp ráp trong nước,TP,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2023,Hyundai Accent 1.4 AT Đặc Biệt,Lắp ráp trong nước,Đà Nẵng,Sedan,46000,N/A,Xe cũ,Xăng
16/10/2025,2022,VinFast VF8 Plus AWD,Lắp ráp trong nước,Hà Nội,SUV,32000,N/A,Xe cũ,Điện
16/10/2025,2014,Kia Sorento DMT 2.2L 2WD,Lắp ráp trong nước,TP,SUV,160000,N/A,Xe cũ,Dầu
16/10/2025,2022,Lexus ES 250,Nhập khẩu,Hà Nội,Sedan,28000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,45000,N/A,Xe cũ,Xăng
16/10/2025,2024,Mazda CX5 Deluxe 2.0 AT,Lắp ráp trong nước,Hà Nội,SUV,9000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Platinum 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,5000,N/A,Xe cũ,Dầu
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Mercedes Benz S class S450L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,55000,N/A,Xe cũ,Xăng
16/10/2025,2025,VinFast Herio Green AT,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Điện
16/10/2025,2025,Ford Transit Premium,Lắp ráp trong nước,Hà Nội,Van/Minivan,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,MG HS 1.5T DEL,Nhập khẩu,N/A,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Omoda C5 Premium 1.5 Turbo,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Veloz Cross Top 1.5 CVT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Volkswagen Golf 2.0 TSI R Performance 4Motion,Nhập khẩu,Hà Nội,Hatchback,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Mercedes Benz GLC 300 4Matic,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Ford Everest Titanium Plus 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2015,Toyota Fortuner 2.7V 4x2 AT,Lắp ráp trong nước,N/A,SUV,112000,N/A,Xe cũ,Xăng
16/10/2025,2024,Peugeot 3008 GT,Lắp ráp trong nước,TP,Crossover,18000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Ranger XLS 2.2L 4x2 AT,Nhập khẩu,N/A,Bán tải / Pickup,60000,N/A,Xe cũ,Dầu
16/10/2025,2019,Hyundai Kona 1.6 Turbo,Lắp ráp trong nước,Hà Nội,Crossover,76000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia K3 Premium 2.0 AT,Lắp ráp trong nước,N/A,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2021,Mercedes Benz E class E300 AMG,Lắp ráp trong nước,TP HCM,Sedan,38000,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz G class G63 AMG,Nhập khẩu,Hà Nội,SUV,17000,N/A,Xe cũ,Xăng
16/10/2025,2016,Lexus ES 250,Nhập khẩu,Hà Nội,Sedan,50000,N/A,Xe cũ,Xăng
16/10/2025,2023,MG RX5 1.5T LUX,Nhập khẩu,Hà Nội,Crossover,30000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Fadil 1.4 AT Plus,Lắp ráp trong nước,N/A,Hatchback,35000,N/A,Xe cũ,Xăng
16/10/2025,2023,Toyota Vios G 1.5 CVT,Lắp ráp trong nước,N/A,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Transit Premium+,Lắp ráp trong nước,Hà Nội,Van/Minivan,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Toyota Veloz Cross Top 1.5 CVT,Nhập khẩu,N/A,SUV,37700,N/A,Xe cũ,Xăng
16/10/2025,2023,Lexus LS 500,Nhập khẩu,TP HCM,Sedan,17000,N/A,Xe cũ,Xăng
16/10/2025,2014,Mazda CX5 2.0 AT,Lắp ráp trong nước,Hà Nội,SUV,92000,N/A,Xe cũ,Xăng
16/10/2025,2020,Isuzu QKR QMR77HE4,Lắp ráp trong nước,TP,Truck,38000,N/A,Xe cũ,Dầu
16/10/2025,2007,Mercedes Benz S class S600,Nhập khẩu,Hà Nội,Sedan,1238,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz GLC 200,Lắp ráp trong nước,TP HCM,SUV,59000,N/A,Xe cũ,Xăng
16/10/2025,2020,Toyota Prado VX 2.7L,Nhập khẩu,TP HCM,SUV,61000,N/A,Xe cũ,Xăng
16/10/2025,2024,Honda CRV G,Lắp ráp trong nước,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Kia Soluto 1.4 AT Luxury,Lắp ráp trong nước,Đà Nẵng,Sedan,10000,N/A,Xe cũ,Xăng
16/10/2025,2022,Peugeot 3008 GT,Lắp ráp trong nước,Hà Nội,Crossover,37000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,17000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Eco AWD,Lắp ráp trong nước,TP HCM,SUV,34000,N/A,Xe cũ,Điện
16/10/2025,2019,Hyundai Elantra 2.0 AT,Lắp ráp trong nước,N/A,Sedan,67000,N/A,Xe cũ,Xăng
16/10/2025,2010,BMW 5 Series 523i,Nhập khẩu,Hà Nội,Sedan,15000,N/A,Xe cũ,Xăng
16/10/2025,2024,VinFast VF6 Plus,Lắp ráp trong nước,N/A,SUV,23500,N/A,Xe cũ,Điện
16/10/2025,2019,Toyota Innova 2.0E,Lắp ráp trong nước,N/A,Crossover,98000,N/A,Xe cũ,Xăng
16/10/2025,2018,Toyota Innova 2.0E,Lắp ráp trong nước,N/A,Crossover,0,N/A,Xe cũ,Xăng
16/10/2025,2016,Kia Morning Si AT,Lắp ráp trong nước,Hà Nội,Hatchback,86000,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz E class E180,Lắp ráp trong nước,N/A,Sedan,16000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Veloz Cross Top 1.5 CVT,Nhập khẩu,N/A,SUV,37700,N/A,Xe cũ,Xăng
16/10/2025,2020,Kia Cerato 1.6 AT Luxury,Lắp ráp trong nước,Hà Nội,Sedan,80000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Ranger Raptor 2.0L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2019,BMW X7 xDrive40i,Nhập khẩu,N/A,SUV,30000,N/A,Xe cũ,Xăng
16/10/2025,2023,Mazda 3 1.5L Sport Luxury,Lắp ráp trong nước,Hà Nội,Hatchback,25000,N/A,Xe cũ,Xăng
16/10/2025,2011,Hyundai Sonata 2.0 AT,Nhập khẩu,TP HCM,Sedan,116000,N/A,Xe cũ,Xăng
16/10/2025,2019,Mercedes Benz Maybach S450 4Matic,Nhập khẩu,Hà Nội,Sedan,58000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Camry 2.5 HEV Mid,Nhập khẩu,N/A,Sedan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2025,Omoda C5 Luxury 1.5 AT,Nhập khẩu,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,Mitsubishi Triton Athlete 4x4 AT,Nhập khẩu,N/A,Bán tải / Pickup,52368,N/A,Xe cũ,Dầu
16/10/2025,2017,Ford Everest Titanium 2.2L 4x2 AT,Nhập khẩu,Hà Nội,SUV,120000,N/A,Xe cũ,Dầu
16/10/2025,2021,Porsche Panamera Turbo S,Nhập khẩu,TP HCM,Sedan,13000,N/A,Xe cũ,Xăng
16/10/2025,2017,Toyota Fortuner 2.7V 4x2 AT,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz C class C250 AMG,Lắp ráp trong nước,Hà Nội,Sedan,68000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG HS 1.5T LUX,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,BMW 3 Series 320i,Nhập khẩu,Hà Nội,Sedan,110000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Ranger Wildtrak 2.0L 4x4 AT,Lắp ráp trong nước,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Kia Cerato 1.6 AT Luxury,Lắp ráp trong nước,Hà Nội,Sedan,80000,N/A,Xe cũ,Xăng
16/10/2025,2017,Kia Sedona 2.2L DATH,Lắp ráp trong nước,TP HCM,Van/Minivan,80000,N/A,Xe cũ,Dầu
16/10/2025,2022,Volvo XC60 Ultimate Bright B6 AWD,Nhập khẩu,Hà Nội,SUV,44000,N/A,Xe cũ,Xăng
16/10/2025,2023,Lexus LX 600 F-Sport,Nhập khẩu,Hà Nội,SUV,40000,N/A,Xe cũ,Xăng
16/10/2025,2022,Ford Ranger Wildtrak 2.0L 4x4 AT,Lắp ráp trong nước,N/A,Bán tải / Pickup,0,N/A,Xe cũ,Dầu
16/10/2025,2025,Bestune Xiaoma,Nhập khẩu,Hà Nội,Hatchback,N/A,N/A,Xe mới,Điện
16/10/2025,2021,Bentley Flying Spur First Edition W12,Nhập khẩu,Hà Nội,Sedan,9000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,100000,N/A,Xe cũ,Dầu
16/10/2025,2014,Kia K3 1.6 AT,Lắp ráp trong nước,Hà Nội,Sedan,90000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Camry 2.5 HEV Mid,Nhập khẩu,N/A,Sedan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2016,Kia Rio 1.4 AT,Nhập khẩu,TP HCM,Sedan,66000,N/A,Xe cũ,Xăng
16/10/2025,2017,Lexus ES 250,Nhập khẩu,TP HCM,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Mitsubishi Triton Athlete 4x4 AT,Nhập khẩu,N/A,Bán tải / Pickup,52368,N/A,Xe cũ,Dầu
16/10/2025,2025,Toyota Veloz Cross 1.5 CVT,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Ford Everest Titanium 2.2L 4x2 AT,Nhập khẩu,Hà Nội,SUV,120000,N/A,Xe cũ,Dầu
16/10/2025,2021,Porsche Panamera Turbo S,Nhập khẩu,TP HCM,Sedan,13000,N/A,Xe cũ,Xăng
16/10/2025,2015,BMW i8 1.5L Hybrid,Nhập khẩu,TP HCM,Coupe,55000,N/A,Xe cũ,Hybrid
16/10/2025,2020,Mini Cooper JCW Convertible,Nhập khẩu,Hà Nội,Convertible/Cabriolet,29000,N/A,Xe cũ,Xăng
16/10/2025,2019,Mercedes Benz C class C300 AMG,Lắp ráp trong nước,N/A,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,27000,N/A,Xe cũ,Xăng
16/10/2025,2025,Kia Sonet Luxury 1.5 AT,Lắp ráp trong nước,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Toyota Fortuner 2.7V 4x2 AT,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2022,Peugeot 2008 GT Line 1.2 AT,Lắp ráp trong nước,Hà Nội,Crossover,60000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2016,BMW 3 Series 320i,Nhập khẩu,Hà Nội,Sedan,110000,N/A,Xe cũ,Xăng
16/10/2025,2017,Kia Sedona 2.2L DATH,Lắp ráp trong nước,TP HCM,Van/Minivan,80000,N/A,Xe cũ,Dầu
16/10/2025,2022,Volvo XC60 Ultimate Bright B6 AWD,Nhập khẩu,Hà Nội,SUV,44000,N/A,Xe cũ,Xăng
16/10/2025,2025,Lexus LM 500h,Nhập khẩu,Hà Nội,Van/Minivan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2025,Bestune Xiaoma,Nhập khẩu,Hà Nội,Hatchback,N/A,N/A,Xe mới,Điện
16/10/2025,2021,Bentley Flying Spur First Edition W12,Nhập khẩu,Hà Nội,Sedan,9000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,100000,N/A,Xe cũ,Dầu
16/10/2025,2014,Kia K3 1.6 AT,Lắp ráp trong nước,Hà Nội,Sedan,90000,N/A,Xe cũ,Xăng
16/10/2025,2016,Kia Rio 1.4 AT,Nhập khẩu,TP HCM,Sedan,66000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Veloz Cross 1.5 CVT,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2019,Suzuki Swift GL 1.2 AT,Nhập khẩu,Hà Nội,Hatchback,83256,N/A,Xe cũ,Xăng
16/10/2025,2023,Kia Carnival Signature 2.2D,Lắp ráp trong nước,TP,Van/Minivan,34000,N/A,Xe cũ,Dầu
16/10/2025,2025,Honda City RS 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,27000,N/A,Xe cũ,Xăng
16/10/2025,2025,Mitsubishi Xforce Ultimate,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,VinFast Lux SA 2.0 Tiêu chuẩn,Lắp ráp trong nước,Hà Nội,SUV,55000,N/A,Xe cũ,Xăng
16/10/2025,2024,Mitsubishi Xpander Premium 1.5 AT,Nhập khẩu,Hà Nội,SUV,22000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Camry 2.5 HEV Mid,Nhập khẩu,Hà Nội,Sedan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2019,Kia Morning AT,Lắp ráp trong nước,N/A,Hatchback,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Innova G 2.0 AT,Lắp ráp trong nước,TP HCM,Crossover,47382,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Wigo G 1.2 AT,Nhập khẩu,N/A,Hatchback,54000,N/A,Xe cũ,Xăng
16/10/2025,2020,BMW X4 xDrive20i M Sport,Nhập khẩu,Hà Nội,SUV,39000,N/A,Xe cũ,Xăng
16/10/2025,2018,Mercedes Benz C class C250 Exclusive,Lắp ráp trong nước,Hà Nội,Sedan,64000,N/A,Xe cũ,Xăng
16/10/2025,2009,Toyota IQ 1.0 AT,Nhập khẩu,TP HCM,Hatchback,32000,N/A,Xe cũ,Xăng
16/10/2025,2009,Lexus GX 460,Nhập khẩu,Hà Nội,SUV,220000,N/A,Xe cũ,Xăng
16/10/2025,2015,Cadillac Escalade ESV Platinum,Nhập khẩu,Hà Nội,SUV,78000,N/A,Xe cũ,Xăng
16/10/2025,2018,Honda Jazz RS,Nhập khẩu,TP HCM,Hatchback,55000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Vios G 1.5 CVT,Lắp ráp trong nước,TP HCM,Sedan,6096,N/A,Xe cũ,Xăng
16/10/2025,2023,Volkswagen Viloran Luxury,Nhập khẩu,Hà Nội,Van/Minivan,11000,N/A,Xe cũ,Xăng
16/10/2025,2019,Suzuki Swift GL 1.2 AT,Nhập khẩu,Hà Nội,Hatchback,83256,N/A,Xe cũ,Xăng
16/10/2025,2003,Suzuki Grand vitara XL-7,Nhập khẩu,Hà Nội,SUV,190000,N/A,Xe cũ,Xăng
16/10/2025,2023,Kia Carnival Signature 2.2D,Lắp ráp trong nước,TP,Van/Minivan,34000,N/A,Xe cũ,Dầu
16/10/2025,2010,Kia Cerato 1.6 AT,Nhập khẩu,N/A,Sedan,90000,N/A,Xe cũ,Xăng
16/10/2025,2025,Mitsubishi Xforce Ultimate,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Camry 2.5 HEV Mid,Nhập khẩu,Hà Nội,Sedan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2019,Kia Morning AT,Lắp ráp trong nước,N/A,Hatchback,0,N/A,Xe cũ,Xăng
16/10/2025,2018,Mercedes Benz C class C200,Lắp ráp trong nước,Hà Nội,Sedan,72000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Wigo G 1.2 AT,Nhập khẩu,N/A,Hatchback,54000,N/A,Xe cũ,Xăng
16/10/2025,2009,Lexus GX 460,Nhập khẩu,Hà Nội,SUV,220000,N/A,Xe cũ,Xăng
16/10/2025,2023,Ford Territory Titanium 1.5 AT,Lắp ráp trong nước,N/A,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2015,Cadillac Escalade ESV Platinum,Nhập khẩu,Hà Nội,SUV,78000,N/A,Xe cũ,Xăng
16/10/2025,2018,Honda Jazz RS,Nhập khẩu,TP HCM,Hatchback,55000,N/A,Xe cũ,Xăng
